gene,vpcells_localization,hpa_localization,reactome_pathways,source
RBBP7,Nucleoplasm,Nucleoplasm,Cellular_Senescence; Chromatin_modifying_enzymes,Reactome
RCHY1,Cytosol,"Cytosol, Nucleoplasm, Vesicles",DNA_Damage_Bypass,Reactome
RELA,Cytosol,Cytosol,Cellular_Senescence; Chromatin_modifying_enzymes,Reactome
RFC1,Nucleoplasm,Nucleoplasm,Base_Excision_Repair; DNA_Damage_Bypass; DNA_Double-Strand_Break_Repair; Nucleotide_Excision_Repair,Reactome
RFC5,"Cytosol, Nucleoplasm",Nucleoplasm,Base_Excision_Repair; Cell_Cycle_Checkpoints; DNA_Damage_Bypass; DNA_Double-Strand_Break_Repair; Nucleotide_Excision_Repair,Reactome
RPA1,"Cytosol, Nucleoplasm",Nucleoplasm,Base_Excision_Repair; Cell_Cycle_Checkpoints; DNA_Damage_Bypass; DNA_Double-Strand_Break_Repair; Fanconi_Anemia_Pathway; Mismatch_Repair; Nucleotide_Excision_Repair; SUMOylation_of_DDR_proteins,Reactome
RPS6KA3,Vesicles,"Cytosol, Nucleoli, Nucleoplasm",Cellular_Senescence,Reactome
SMARCA4,Nucleoplasm,"Nucleoli, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
SMARCA5,Nucleoplasm,"Nucleoli, Nucleoplasm",DNA_Double-Strand_Break_Repair,Reactome
SMARCB1,Nucleoplasm,"Nucleoli, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
SMARCC1,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
SMC1A,Nucleoplasm,Nucleoplasm,SUMOylation_of_DDR_proteins,Reactome
SMC3,"Nuclear speckles, Nucleoplasm",Nucleoplasm,SUMOylation_of_DDR_proteins,Reactome
SP1,"Nuclear speckles, Nucleoplasm",Nucleoplasm,Cellular_Senescence,Reactome
STAG2,Nucleoplasm,"Nucleoli, Nucleoplasm",SUMOylation_of_DDR_proteins,Reactome
SUMO3,"Nuclear speckles, Nucleoplasm","Nuclear speckles, Nucleoplasm",Nucleotide_Excision_Repair; SUMOylation_of_DDR_proteins,Reactome
TAF10,"Cytosol, Nucleoplasm",Nucleoplasm,Chromatin_modifying_enzymes,Reactome
TBL1XR1,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
TCEA1,Nucleoplasm,"Nucleoli, Nucleoplasm",Nucleotide_Excision_Repair,Reactome
TP53,Nucleoplasm,"Cytosol, Nucleoplasm, Vesicles",Cell_Cycle_Checkpoints; Cellular_Senescence; DNA_Double-Strand_Break_Repair; Regulation_of_TP53_Activity,Reactome
TPR,Nuclear membrane,Nuclear membrane,SUMOylation_of_DDR_proteins,Reactome
USP22,Nucleoplasm,Nuclear speckles,Chromatin_modifying_enzymes,Reactome
WDR5,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
XPO1,"Cytosol, Nuclear membrane, Nucleoplasm","Cytosol, Nuclear membrane, Nucleoplasm, Vesicles",Cell_Cycle_Checkpoints,Reactome
XRCC6,Nucleoplasm,Nucleoplasm,DNA_Double-Strand_Break_Repair,Reactome
YWHAB,Cytosol,Cytosol,Cell_Cycle_Checkpoints,Reactome
YWHAG,"Cytosol, Nucleoplasm",Cytosol,Cell_Cycle_Checkpoints,Reactome
YY1,Nucleoplasm,"Nuclear speckles, Nucleoli, Nucleoplasm",Nucleotide_Excision_Repair,Reactome
